0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.000000,2.000000,0.500000,2.000000,1.000000,1.000000,1.000000,3.500000,1.500000,1.000000
9.500000,9.000000,8.500000,9.500000,10.500000,9.500000,10.000000,10.000000,9.500000,10.000000
17.000000,18.000000,17.500000,18.000000,19.000000,16.000000,17.000000,18.500000,16.500000,16.500000
24.500000,24.000000,25.500000,25.500000,26.500000,24.500000,25.500000,27.500000,26.000000,24.500000
33.500000,32.500000,33.500000,37.500000,35.000000,31.500000,33.000000,34.000000,32.500000,32.500000
40.000000,40.000000,40.500000,41.000000,42.000000,39.500000,40.500000,43.500000,39.500000,40.000000
46.000000,47.000000,47.500000,48.000000,49.500000,46.500000,47.500000,48.500000,47.500000,48.000000
52.000000,51.500000,53.000000,56.000000,55.000000,51.500000,55.000000,56.500000,54.000000,53.500000
